name,description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
avg_ed,Average Parent Education Level,X,X,X,X,X,X,X,X,X,X,X,X,X,X
awards,Eligible for Awards Program,X,X,X,,,,,,,,,,,
awards,Eligible for Awards Program (B=Not Eligible),,,,X,X,,,,,,,,,
b1999,1999 Base Used (Yes/No),,X,,,,,,,,,,,,
both,Met both School-wide/Subgroup Targets,,,,,,,,,,X,X,X,,
both,Met both School-wide/Student Group Targets,,,,,,,,,,,,,X,X
both,Met both School-wide/CI Target,,X,X,X,X,X,X,X,X,,,,,
both,Met both School wide/CI Target,X,,,,,,,,,,,,,
capa,Number of Students Excused from Testing by Individualized Education Program Statement,,,,,X,,,,,,,,,
cbmob,Percentage of Students enrolled at the school on Fall census day to the first day of testing without a gap in enrollment of more than 30 consecutive calendar days.,,,,,,,,,,,,,,X
cbmob,Percentage of Students counted as part of school enrollment in October 2003 CBEDS and has been continuously enrolled since that date,,,,,,X,,,,,,,,
cbmob,Percentage of Students enrolled at the school on Fall census day to the first day of testing without agap in enrollment of more than 30 consecutive calendar days.,,,,,,,,,,,,,X,
cbmob,Percentage of Students counted as part of school enrollment in October [Last Year] CBEDS and has been continuously enrolled since that date,,,,X,X,,X,X,X,X,X,X,,
cds,County/District/School code,X,X,X,X,X,X,X,X,X,X,X,X,X,X
charter,"Y=Charter, Not Direct Funded, D=Direct Funded Charter, Blank=Not a Charter School",,,,,,,X,X,X,X,X,X,X,X
chg_data,Results on this report may change because: C=the LEA will be changing data.,,,,,,,,X,X,,,,,
chg_data,Results on this report may change because: C = the LEA will be changing data.,,,,,,,,,,X,X,X,X,X
cname,County Name,X,X,X,X,X,X,X,X,X,X,X,X,X,X
col_grad,Parent Ed Level: Percent College Graduate,X,X,X,X,X,X,X,X,X,X,X,X,X,X
comp_imp,Met All Subgroup Targets (Comparable Improvement),,,,,,,,,,X,X,X,,
comp_imp,Met Comparable Improvement (CI) Target,X,X,X,X,X,X,X,X,X,,,,,
comp_imp,Met All Student Group Targets (Comparable Improvement),,,,,,,,,,,,,X,X
cw_chse,School Content Area Weights Percentage in CAHSEE English-language arts,,,,,,X,,,,,,,,
cw_chse,School Content Area Weights Percentage in CAHSEE ELA,,,,,,,X,X,X,X,X,X,X,X
cw_chsm,School Content Area Weights Percentage in CAHSEE mathematics,,,,,,X,X,X,X,X,X,X,X,X
cw_cste,School Content Area Weights Percentage in CST English-language arts,,,,,,X,X,X,X,X,X,X,X,X
cw_csth,School Content Area Weights Percentage in CST history-social science,,,,,,X,X,X,X,X,X,X,X,X
cw_cstm,School Content Area Weights Percentage in CST mathematics,,,,,,X,X,X,X,X,X,X,X,X
cw_csts,School Content Area Weights Percentage in CST science,,,,,,X,X,,,,,,,
cw_nrtl,School Content Area Weights Percentage in NRT language,,,,,,X,X,X,X,,,,,
cw_nrtm,School Content Area Weights Percentage in NRT mathematics,,,,,,X,X,X,X,,,,,
cw_nrtr,School Content Area Weights Percentage in NRT reading,,,,,,X,X,X,X,,,,,
cw_nrts,School Content Area Weights Percentage in NRT spelling,,,,,,X,X,X,X,,,,,
cw_sci,School Content Area Weights Percentage in CST Life Science Grade 10 and Science Grades 5 & 8,,,,,,,,,,,,,X,X
cw_sci,School Content Area Weights Percentage in CST Life Science Grade 10 and Grades 2-8,,,,,,,,X,X,X,X,X,,
cwm2_28,School Content Area Weights Percentage for Mathematics Assignment of 200 CST in grades 2-8,,,,,,,,X,X,X,X,X,X,X
cwm2_911,School Content Area Weights Percentage for Mathematics Assignment of 200 CST in grades 8-11,,,,,,,,,,,,,X,X
cwm2_911,School Content Area Weights Percentage for Mathematics Assignment of 200 CST in grades 9-11,,,,,,,,X,X,X,X,X,,
cws2_911,School Content Area Weights Percentage for Science Assignment of 200 CST in grades 9-11,,,,,,,,X,X,X,X,X,,
cws2_911,"School Content Area Weights Percentage for Science Assignment of 200 CST in grades 9-11, end of course",,,,,,,,,,,,,X,X
cws_911,School Content Area Weights Percentage in CST science Grades 9-11 End of Course,,,,,,,,X,X,X,X,X,X,X
di_api_base,[Last Year] Students With Disabilities API (Base),,,,,,,X,X,X,X,X,X,X,X
di_api_growth,[This Year] Students With Disabilities API (Growth),,,,,,,X,X,X,X,X,X,X,X
di_grow,[Last year Range] Students With Disabilities API Growth,,,,,,,,,,,,,X,X
di_grow,[Last year Range] Students With Disabilities Subgroup API Growth,,,,,,,X,X,X,X,X,X,,
di_met,Met Students With Disabilities Subgroup Growth Target,,,,,,,X,X,X,X,X,X,,
di_met,Met Students With Disabilities Growth Target,,,,,,,,,,,,,X,X
di_num,Number of Students With Disabilities included in API,,,,,,,X,X,X,X,X,X,X,X
di_sig,Students With Disabilities Significant? (Yes/No),,,,,,,X,,,,,,,
di_sig,Students With Disabilities Significant Both Years? (Yes/No),,,,,,,,X,X,X,X,X,X,X
di_targ,[Last year Range] Students With Disabilities Growth Target,,,,,,,,,,,,,X,X
di_targ,[Last year Range] Students With Disabilities Subgroup Growth Target,,,,,,,X,X,X,X,X,X,,
dmob,Percentage of Students enrolled at the district on Fall census day to the first day of testing without a gap in enrollment of more than 30 consecutive calendar days.,,,,,,,,,,,,,,X
dmob,Percentage of Students counted as part of district enrollment in October [Last Year] CBEDS and has been continuously enrolled since that date,,,,X,X,,X,X,X,X,X,X,,
dmob,Percentage of Students counted as part of district enrollment in October 2003 CBEDS and has been continuously enrolled since that date,,,,,,X,,,,,,,,
dmob,Percentage of Students Who First Attended this District in the Present Year,,,X,,,,,,,,,,,
dmob,Percentage of Students enrolled at the district on Fall census day to the first day of testing without agap in enrollment of more than 30 consecutive calendar days.,,,,,,,,,,,,,X,
dname,District Name,X,X,X,X,X,X,X,X,X,X,X,X,X,X
el,English Learners,,X,X,X,X,X,,,,,,,,
